State,Population
AL,5039877
AK,732673
AZ,7276316
AR,3025891
CA,39237836
CO,5812069
CT,3605597
DE,1003384
DC,670050
FL,21781128
GA,10799566
HI,1441553
ID,1900923
IL,12671469
IN,6805985
IA,3193079
KS,2934582
KY,4509394
LA,4624047
ME,1372247
MD,6165129
MA,6984723
MI,10050811
MN,5707390
MS,2949965
MO,6168187
MT,1104271
NE,1963692
NV,3143991
NH,1388992
NJ,9267130
NM,2115877
NY,19835913
NC,10551162
ND,774948
OH,11780017
OK,3986639
OR,4246155
PA,12964056
RI,1095610
SC,5190705
SD,895376
TN,6975218
TX,29527941
UT,3337975
VT,645570
VA,8642274
WA,7738692
WV,1782959
WI,5895908
WY,578803
